Model,Origin,MPG,Cylinders,Displacement,Horsepower,Weight,Acceleration,Model_Year
honda civic 1300                    ,Japan  ,35.1,4,81.0,60.0,1760,16.1,81
subaru                              ,Japan  ,32.3,4,97.0,67.0,2065,17.8,81
datsun 210 mpg                      ,Japan  ,37.0,4,85.0,65.0,1975,19.4,81
toyota tercel                       ,Japan  ,37.7,4,89.0,62.0,2050,17.3,81
mazda glc 4                         ,Japan  ,34.1,4,91.0,68.0,1985,16.0,81
plymouth horizon 4                  ,USA    ,34.7,4,105.0,63.0,2215,14.9,81
ford escort 4w                      ,USA    ,34.4,4,98.0,65.0,2045,16.2,81
ford escort 2h                      ,USA    ,29.9,4,98.0,65.0,2380,20.7,81
volkswagen jetta                    ,Germany,33.0,4,105.0,74.0,2190,14.2,81
renault 18i                         ,France ,34.5,4,100.0,,2320,15.8,81
honda prelude                       ,Japan  ,33.7,4,107.0,75.0,2210,14.4,81
toyota corolla                      ,Japan  ,32.4,4,108.0,75.0,2350,16.8,81
datsun 200sx                        ,Japan  ,32.9,4,119.0,100.0,2615,14.8,81
mazda 626                           ,Japan  ,31.6,4,120.0,74.0,2635,18.3,81
peugeot 505s turbo diesel           ,France ,28.1,4,141.0,80.0,3230,20.4,81
saab 900s                           ,Sweden ,,4,121.0,110.0,2800,15.4,81
volvo diesel                        ,Sweden ,30.7,6,145.0,76.0,3160,19.6,81
toyota cressida                     ,Japan  ,25.4,6,168.0,116.0,2900,12.6,81
datsun 810 maxima                   ,Japan  ,24.2,6,146.0,120.0,2930,13.8,81
buick century                       ,USA    ,22.4,6,231.0,110.0,3415,15.8,81
oldsmobile cutlass ls               ,USA    ,26.6,8,350.0,105.0,3725,19.0,81
ford granada gl                     ,USA    ,20.2,6,200.0,88.0,3060,17.1,81
chrysler lebaron salon              ,USA    ,17.6,6,225.0,85.0,3465,16.6,81
chevrolet cavalier                  ,USA    ,28.0,4,112.0,88.0,2605,19.6,82
chevrolet cavalier wagon            ,USA    ,27.0,4,112.0,88.0,2640,18.6,82
chevrolet cavalier 2-door           ,USA    ,34.0,4,112.0,88.0,2395,18.0,82
pontiac j2000 se hatchback          ,USA    ,31.0,4,112.0,85.0,2575,16.2,82
dodge aries se                      ,USA    ,29.0,4,135.0,84.0,2525,16.0,82
pontiac phoenix                     ,USA    ,27.0,4,151.0,90.0,2735,18.0,82
ford fairmont futura                ,USA    ,24.0,4,140.0,92.0,2865,16.4,82
amc concord dl                      ,USA    ,23.0,4,151.0,,3035,20.5,82
volkswagen rabbit l                 ,Germany,36.0,4,105.0,74.0,1980,15.3,82
mazda glc custom l                  ,Japan  ,37.0,4,91.0,68.0,2025,18.2,82
mazda glc custom                    ,Japan  ,31.0,4,91.0,68.0,1970,17.6,82
plymouth horizon miser              ,USA    ,38.0,4,105.0,63.0,2125,14.7,82
mercury lynx l                      ,USA    ,36.0,4,98.0,70.0,2125,17.3,82
nissan stanza xe                    ,Japan  ,36.0,4,120.0,88.0,2160,14.5,82
honda accord                        ,Japan  ,36.0,4,107.0,75.0,2205,14.5,82
toyota corolla                      ,Japan  ,34.0,4,108.0,70.0,2245,16.9,82
honda civic                         ,Japan  ,38.0,4,91.0,67.0,1965,15.0,82
honda civic (auto)                  ,Japan  ,32.0,4,91.0,67.0,1965,15.7,82
datsun 310 gx                       ,Japan  ,38.0,4,91.0,67.0,1995,16.2,82
buick century limited               ,USA    ,25.0,6,181.0,110.0,2945,16.4,82
oldsmobile cutlass ciera (diesel)   ,USA    ,38.0,6,262.0,85.0,3015,17.0,82
chrysler lebaron medallion          ,USA    ,26.0,4,156.0,92.0,2585,14.5,82
ford granada l                      ,USA    ,22.0,6,232.0,112.0,2835,14.7,82
toyota celica gt                    ,Japan  ,32.0,4,144.0,96.0,2665,13.9,82
dodge charger 2.2                   ,USA    ,36.0,4,135.0,84.0,2370,13.0,82
chevrolet camaro                    ,USA    ,27.0,4,151.0,90.0,2950,17.3,82
ford mustang gl                     ,USA    ,27.0,4,140.0,86.0,2790,15.6,82
volkswagen pickup                   ,Germany,44.0,4,97.0,52.0,2130,24.6,82
dodge rampage                       ,USA    ,32.0,4,135.0,84.0,2295,11.6,82
ford ranger                         ,USA    ,28.0,4,120.0,79.0,2625,18.6,82
chevrolet s-10                      ,USA    ,31.0,4,119.0,82.0,2720,19.4,82
